NationalTOMsRef;Question_Name;Units;Proxy_Value;Target_Number;Target_LEV;Actual_Number_Delivered;Delivered_LEV;Project_name;Industry;Postcode;Contract_Value
NT1;Local people employed;no. people FTE;£28.758,00;;;22;£632.676,00;Project033;Construction;LS15 ;£7.300.000,00
NT19;Local Supply Chain Spend (SMEs);£;£0,66;;;2038653;£1.345.510,98;Project033;Construction;LS15 ;£7.300.000,00
NT18;Local Supply Chain Spend (Large organisations);£;£0,66;;;486655;£321.192,30;Project033;Construction;LS15 ;£7.300.000,00
NT1;Local people employed;no. people FTE;£28.758,00;3;£86.274,00;3;£86.274,00;Project034;Construction;PL4 ;£5.493.226,00
NT19;Local Supply Chain Spend (SMEs);£;£0,66;2374383;£1.567.093,00;2769238;£1.827.697,08;Project034;Construction;PL4 ;£5.493.226,00
NT18;Local Supply Chain Spend (Large organisations);£;£0,66;419009;£276.546,00;548357;£361.915,62;Project034;Construction;PL4 ;£5.493.226,00
NT1;Local people employed;no. people FTE;£28.758,00;;;1;£28.758,00;Project056;Construction;WA3 ;£6.900.000,00
NT19;Local Supply Chain Spend (SMEs);£;£0,66;;;3618174;£2.387.994,84;Project056;Construction;WA3 ;£6.900.000,00
NT18;Local Supply Chain Spend (Large organisations);£;£0,66;;;0;£0,00;Project056;Construction;WA3 ;£6.900.000,00
NT18;Total amount (£) spent in LOCAL supply chain;£;£0,64;;;56832,28;£36.490,87;Project086;Construction;DN14 ;£4.352.382,00
NT19;Total amount (£) spent through contract with LOCAL MSMEs;£;£0,64;;;2058504;£1.321.724,39;Project086;Construction;DN14 ;£4.352.382,00
NT1;No. of local people (FTE) employed on contract;no. people FTE;£27.123,00;;;0;£0,00;Project087;Construction;TA1 ;£27.900.000,00
NT18;Total amount (£) spent in LOCAL supply chain through the contract;£;£0,60;;;5029983;£3.023.019,78;Project087;Construction;TA1 ;£27.900.000,00
NT19;Total amount (£) spent through contract with LOCAL MSMEs;£;£0,60;;;0;£0,00;Project087;Construction;TA1 ;£27.900.000,00
NT18;Total amount (£) spent in LOCAL supply chain;£;£1,17;;;104214;£121.720,31;Project089;Construction;TW3 ;£43.828.026,00
NT19;Total amount (£) spent through contract with LOCAL MSMEs;£;£1,17;;;0;£0,00;Project089;Construction;TW3 ;£43.828.026,00
NT18;Total amount (£) spent in LOCAL supply chain;£;£0,93;;;0;£0,00;Project095;Construction;SW9 ;£4.586.144,00
NT19;Total amount (£) spent through contract with LOCAL MSMEs;£;£0,93;;;0;£0,00;Project095;Construction;SW9 ;£4.586.144,00
NT18;Total amount (£) spent in LOCAL supply chain;£;£0,49;;;32362,55;£15.834,73;Project098;Construction;DN2 ;£2.638.338,00
NT19;Total amount (£) spent through contract with LOCAL MSMEs;£;£0,49;;;147061;£71.955,75;Project098;Construction;DN2 ;£2.638.338,00
NT1;Local people employed;no. people FTE;£30.219,00;2;£60.438,00;0;£0,00;Project100;Construction;OX11 ;£6.459.372,00
NT18;Local supply chain spend;£;£0,94;100000;£113.900,00;0;£0,00;Project100;Construction;OX11 ;£6.459.372,00
NT1;Number of local people employed;no. people FTE;£28.758,00;16;£460.128,00;21;£603.918,00;Project102;Construction;NW4 ;£40.000.000,00
NT19;Total amount (£) spent with local SMEs through the contract;£;£0,60;;;4744144;£2.846.486,40;Project102;Construction;NW4 ;£40.000.000,00
NT19;Total amount (£) spent with SMEs by non-SME Tier 2 suppliers;£;£0,60;;;0;£0,00;Project102;Construction;NW4 ;£40.000.000,00
NT18;Total amount (£) spent in LOCAL supply chain;£;£1,14;;;0;£0,00;Project103;Construction;SL5 ;£44.567,00
NT19;Total amount (£) spent through contract with LOCAL MSMEs;£;£1,14;;;0;£0,00;Project103;Construction;SL5 ;£44.567,00
NT18;Total amount (£) spent in LOCAL supply chain;£;£0,84;;;0;£0,00;Project104;Construction;ME1 ;£281.801,00
